name,name_hindi,slug,latitude,longitude,address,city,district,state,pincode,primary_deity,secondary_deities,sect,temple_type,is_jyotirlinga,is_shaktipeeth,history,significance,architecture_style,estimated_year_built,opening_time,closing_time,entry_fee,best_time_to_visit,nearest_railway,nearest_airport,category_tags,status
Kashi Vishwanath Temple,काशी विश्वनाथ मंदिर,kashi-vishwanath-varanasi,25.31075,83.01063,"Vishwanath Gali, Varanasi",Varanasi,Varanasi,Uttar Pradesh,221001,Lord Shiva,Parvati|Annapurna,Shaiva,Jyotirlinga,TRUE,FALSE,"One of the most sacred of the 12 Jyotirlingas, Kashi Vishwanath has stood on the banks of the Ganga for millennia. The current temple was rebuilt by Ahilyabai Holkar in 1780 after Aurangzeb demolished the original. The new Kashi Vishwanath Corridor built in 2021 has transformed the entire complex giving direct Ganga view.",The most sacred Jyotirlinga. Dying in Kashi grants moksha directly according to Hindu belief. Lord Shiva himself is said to whisper the Taraka mantra in the ear of the dying. The new corridor is a masterpiece connecting the temple to the Ganga ghat. A once-in-lifetime experience.,Nagara,Original ancient|Current 1780 AD,03:00:00,23:00:00,0,October to March|Shivratri,Varanasi Cantt Railway Station (6 km),Lal Bahadur Shastri Airport (24 km),Jyotirlinga|Moksha|Ganga|Most Sacred|Varanasi|Kashi,published
Sankat Mochan Temple Varanasi,संकट मोचन मंदिर,sankat-mochan-varanasi,25.28210,83.00760,"Sankat Mochan Road, Varanasi",Varanasi,Varanasi,Uttar Pradesh,221005,Lord Hanuman,Ram|Sita,Vaishnav,Regional Famous,FALSE,FALSE,"Sankat Mochan literally means the one who removes all troubles. This Hanuman temple was established by the great saint-poet Tulsidas who wrote the Ramcharitmanas. The temple is one of the most visited in Varanasi and Tuesdays and Saturdays see massive crowds. The prasad besan ladoo is legendary.",Founded by Tulsidas himself — making this one of the holiest Hanuman temples in India. Said to remove all troubles and obstacles. The besan ladoo prasad is distributed for free to all devotees. A deeply comforting temple.,Nagara,16th century,05:00:00,22:00:00,0,Tuesday|Saturday|Year round,Varanasi Cantt (4 km),Lal Bahadur Shastri Airport (26 km),Hanuman|Tulsidas|Trouble Removal|Varanasi|Famous,published
Dashashwamedh Ghat Aarti,दशाश्वमेध घाट आरती,dashashwamedh-ghat-varanasi,25.30630,83.01320,"Dashashwamedh Ghat, Varanasi",Varanasi,Varanasi,Uttar Pradesh,221001,Lord Shiva,Ganga Mata|Agni,Shaiva,Sacred Ghat,FALSE,FALSE,"Dashashwamedh is the main ghat of Varanasi where Brahma performed the Dasha-ashwamedha sacrifice. Every evening the Ganga Aarti performed here by dozens of priests simultaneously is considered one of the most spectacular religious ceremonies in the world. Thousands of devotees and tourists witness it daily.",The most famous Ganga Aarti in the world happens here every evening. 7 priests perform synchronized aarti with fire lamps, conch shells, and flower offerings. Witnessing this is a life-changing spiritual experience. A symbol of Varanasi and India spiritual heritage.,Sacred Ghat,Ancient,05:00:00,23:59:00,0,Year round|Evening Aarti at sunset,Varanasi Cantt (5 km),Lal Bahadur Shastri Airport (22 km),Ganga Aarti|Spectacular|Must See|Varanasi|Evening,published
Vindhyavasini Temple,विंध्यवासिनी मंदिर,vindhyavasini-temple-mirzapur,24.78900,82.57300,"Vindhyachal, Mirzapur",Mirzapur,Mirzapur,Uttar Pradesh,231307,Goddess Vindhyavasini,Kali|Saraswati,Shakta,Shaktipeeth,FALSE,TRUE,"Vindhyavasini is one of the most powerful Shaktipeeths in India. The goddess Vindhyavasini is the presiding deity of the Vindhya mountain range. The temple complex has three main shrines — Vindhyavasini, Kali Khoh, and Ashtabhuja. The Navratri celebrations here draw millions.",One of the most visited Shaktipeeths in North India. The goddess is supremely powerful and the atmosphere is charged with divine energy. The three-temple complex covers the entire mythology of the divine feminine. During Navratri the crowd stretches for kilometers.,Nagara,Ancient,05:00:00,22:00:00,0,Navratri|Year round,Vindhyachal Railway Station (1 km),Varanasi Airport (85 km),Shakti|Shaktipeeth|Powerful|Navratri|Goddess|Famous,published
Ayodhya Ram Mandir,अयोध्या राम मंदिर,ram-mandir-ayodhya,26.79510,82.19430,"Ram Janmabhoomi, Ayodhya",Ayodhya,Ayodhya,Uttar Pradesh,224123,Lord Ram,Sita|Lakshmana|Hanuman,Vaishnav,Janmabhoomi,FALSE,FALSE,"The Ram Mandir at Ayodhya is built at the exact birthplace of Lord Ram — Ram Janmabhoomi. After a historic Supreme Court verdict in 2019 and decades of wait, the new magnificent temple was consecrated on January 22 2024 by Prime Minister Modi. The temple is built in Nagara style and will be one of the grandest temples in the world when complete.",The birthplace of Lord Ram — the most emotionally significant temple for Hindus worldwide. The consecration in January 2024 was a historic moment for India. The grand Nagara temple is a masterpiece of modern temple architecture. A pilgrimage every Hindu must undertake.,Nagara,Consecrated 2024,07:00:00,23:00:00,0,Year round,Ayodhya Cantt Railway Station (5 km),Ayodhya Airport (10 km),Ram|Janmabhoomi|Historic|New Temple|Must Visit|Pilgrimage,published
Vrindavan Banke Bihari Temple,वृंदावन बांके बिहारी मंदिर,banke-bihari-vrindavan,27.57580,77.70020,"Vrindavan, Mathura",Vrindavan,Mathura,Uttar Pradesh,281121,Lord Krishna,Radha,Vaishnav,Famous Krishna Temple,FALSE,FALSE,"Banke Bihari temple houses the most beloved Krishna idol in Vrindavan. The deity Banke Bihari (the one who stands in the tribhanga posture) was discovered by the great saint Swami Haridas in the 16th century. The darshan style is unique — the curtain opens briefly every few minutes because the deity eyes are believed to be so powerful they can overwhelm devotees.",The most beloved Krishna temple in Vrindavan. The unique darshan where the curtain opens for just a moment creates an indescribable rush of devotion. The Holi celebration here is legendary — the priests throw flowers at devotees. Radhashtami is equally spectacular.,Rajputana,1864,07:45:00,12:00:00,0,Janmashtami|Holi|Year round,Mathura Railway Station (12 km),Agra Airport (75 km),Krishna|Vrindavan|Holi|Beloved|Most Famous,published
ISKCON Temple Vrindavan,इस्कॉन मंदिर वृंदावन,iskcon-temple-vrindavan,27.58350,77.69180,"Bhaktivedanta Swami Marg, Vrindavan",Vrindavan,Mathura,Uttar Pradesh,281121,Lord Krishna,Radha|Balram,Vaishnav,Modern Famous,FALSE,FALSE,"The ISKCON temple in Vrindavan (Krishna Balaram Mandir) was established by Srila Prabhupada in 1975. It is one of the most visited temples in Vrindavan and is particularly popular with international devotees. The Samadhi of Srila Prabhupada is located here.",Beautiful temple complex with international devotees from around the world. The bhajan-kirtan here is extraordinary. The free prasad served daily is excellent. The Prabhupada Samadhi is deeply moving. Extremely clean and well-maintained.,Modern ISKCON,1975,04:30:00,21:00:00,0,Year round,Mathura Railway Station (12 km),Agra Airport (72 km),Krishna|ISKCON|International|Prasad|Vrindavan|Modern,published
Mathura Shri Krishna Janmabhoomi,मथुरा श्री कृष्ण जन्मभूमि,krishna-janmabhoomi-mathura,27.50330,77.67340,"Krishna Janmabhoomi, Mathura",Mathura,Mathura,Uttar Pradesh,281001,Lord Krishna,Devaki|Vasudeva,Vaishnav,Janmabhoomi,FALSE,FALSE,"Krishna Janmabhoomi is the exact prison cell where Lord Krishna was born to Devaki and Vasudeva in the custody of King Kansa. The original birthplace is marked by a small dark room. The complex includes the Keshav Deo temple and the adjacent Shahi Eidgah mosque — a site of great historical and religious significance.",The exact birthplace of Lord Krishna. Standing in the prison cell where Krishna was born is deeply moving. The entire city of Mathura throbs with Krishna consciousness. Janmashtami here attracts over a million devotees. One of the most significant pilgrimage sites in India.,Nagara + Modern,Ancient|Rebuilt,05:00:00,12:00:00,0,Janmashtami|Year round,Mathura Junction (2 km),Agra Airport (58 km),Krishna|Janmabhoomi|Mathura|Pilgrimage|Historic,published
Trimbakeshwar Jyotirlinga,त्र्यंबकेश्वर ज्योतिर्लिंग,trimbakeshwar-jyotirlinga-nashik,19.93000,73.52900,"Trimbak, Nashik",Trimbak,Nashik,Maharashtra,422212,Lord Shiva,Parvati|Brahma|Vishnu,Shaiva,Jyotirlinga,TRUE,FALSE,"Trimbakeshwar is unique among all 12 Jyotirlingas as the Shivalinga here has three faces representing Brahma Vishnu and Shiva — the Trimurti. The sacred Godavari river originates from the nearby Brahmagiri mountain. The Kumbh Mela of Nashik is held here every 12 years.",The only Jyotirlinga with three faces representing the entire Hindu Trinity. The source of the Godavari — the Ganga of South India — is located nearby. Kumbh Mela held here every 12 years. Extremely powerful spiritually.,Nagara,13th century,05:30:00,21:00:00,0,October to March|Shivratri,Nashik Road Railway Station (28 km),Nashik Airport (30 km),Jyotirlinga|Trinity|Godavari|Kumbh|Three-faced,published
Shirdi Sai Baba Temple,शिरडी साई बाबा मंदिर,shirdi-sai-baba-temple,19.76660,74.47680,"Shirdi, Ahmednagar",Shirdi,Ahmednagar,Maharashtra,423109,Sai Baba,,,Inter-faith,Regional Famous,FALSE,FALSE,"Shirdi is the home of Sai Baba — one of the most beloved saints of India revered by both Hindus and Muslims. The Samadhi Mandir where Sai Baba attained Mahasamadhi draws over 50000 devotees daily making it the second most visited religious site in India after Tirupati. Sai Baba taught unity of all religions.",The most unifying temple in India — equally revered by Hindus and Muslims. Over 50000 devotees daily. The Samadhi darshan is deeply peaceful. The free meals (prasadalaya) serve over 20000 people daily. Sai Baba message of Shraddha and Saburi (faith and patience) resonates universally.,Modern Samadhi,19th century,05:00:00,23:00:00,0,Year round,Kopargaon Railway Station (15 km),Nashik Airport (85 km),Sai Baba|Inter-faith|Most Visited|Peace|Unity|Free Meals,published
