name,name_hindi,slug,latitude,longitude,address,city,district,state,pincode,primary_deity,secondary_deities,sect,temple_type,is_jyotirlinga,is_shaktipeeth,history,significance,architecture_style,estimated_year_built,opening_time,closing_time,entry_fee,best_time_to_visit,nearest_railway,nearest_airport,category_tags,status
Omkareshwar Jyotirlinga Temple,ओंकारेश्वर ज्योतिर्लिंग,omkareshwar-jyotirlinga-khandwa,22.24350,76.15080,"Omkareshwar Island, Khandwa",Omkareshwar,Khandwa,Madhya Pradesh,450554,Lord Shiva,Parvati|Ganesha,Shaiva,Jyotirlinga,TRUE,FALSE,"One of the 12 sacred Jyotirlingas, Omkareshwar is situated on an island shaped like the Hindu symbol OM on the Narmada river. The island naturally forms the shape of the sacred syllable OM when viewed from above. The temple has two shrines — Omkareshwar and Amareshwar.",The island temple sits in the middle of the Narmada river and its natural OM shape makes it supremely sacred. A visit here is said to grant moksha. The Narmada parikrama done here is considered equivalent to visiting all holy places.,Nagara,8th century,05:00:00,22:00:00,0,October to March,Omkareshwar Road Railway Station (12 km),Indore Airport (78 km),Jyotirlinga|Shiva|Narmada|Moksha|Island Temple,published
Mamleshwar Temple,मामलेश्वर मंदिर,mamleshwar-temple-omkareshwar,22.24420,76.15200,"Omkareshwar, Khandwa",Omkareshwar,Khandwa,Madhya Pradesh,450554,Lord Shiva,,Shaiva,Jyotirlinga,TRUE,FALSE,"Mamleshwar is the second shrine of the Omkareshwar Jyotirlinga complex located across the river. Together Omkareshwar and Mamleshwar constitute the single Jyotirlinga of Omkareshwar. Devotees must visit both shrines to complete the Jyotirlinga darshan.",The second part of the Omkareshwar Jyotirlinga. Many devotees are unaware that the complete Jyotirlinga darshan requires visiting both temples. Located on the south bank of the Narmada.,Nagara,Ancient,05:00:00,21:00:00,0,October to March,Omkareshwar Road (12 km),Indore Airport (78 km),Jyotirlinga|Shiva|Narmada|Sacred,published
Pashupatinath Temple Mandsaur,पशुपतिनाथ मंदिर मंदसौर,pashupatinath-mandsaur,24.07340,75.08000,"Pashupatinath Road, Mandsaur",Mandsaur,Mandsaur,Madhya Pradesh,458001,Lord Shiva,Parvati,Shaiva,Regional Famous,FALSE,FALSE,"The Pashupatinath temple in Mandsaur houses a rare 8-faced Shivalinga called the Ashta-Mukhi Shivalinga. This is one of the most unique Shivalingas in India and draws pilgrims from across the country. The temple is located on the banks of the Shivna river.",Houses the extremely rare 8-faced Shivalinga. Each face of the linga represents a different form of Lord Shiva. This unique idol is found nowhere else in India making Mandsaur a must-visit for Shiva devotees.,Nagara,4th-5th century,06:00:00,21:00:00,0,October to March,Mandsaur Railway Station (2 km),Indore Airport (200 km),Shiva|Rare|Unique|8-faced Linga|Pilgrimage,published
Pitambara Peeth,पीताम्बरा पीठ,pitambara-peeth-datia,25.66540,78.45700,"Pitambara Peeth Road, Datia",Datia,Datia,Madhya Pradesh,475661,Goddess Pitambara,Baglamukhi|Dhumavati,Shakta,Shaktipeeth,FALSE,TRUE,"Pitambara Peeth is one of the most powerful Shakti shrines in India. The goddess Baglamukhi (Pitambara) is worshipped here and the temple is famous for powerful tantric rituals. Politicians, judges, army officers and celebrities visit before major life events. The goddess is believed to paralyze enemies and grant victory.",One of India most powerful Shakti shrines. The yellow-clad goddess Baglamukhi is believed to grant victory over enemies. Famous for Havan rituals. Highly visited by powerful people before elections and court cases. Extremely rare Dhumavati temple also present here.,Tantric Architecture,Ancient,05:00:00,22:00:00,0,Year round,Datia Railway Station (2 km),Gwalior Airport (75 km),Shakti|Powerful|Tantra|Victory|Baglamukhi,published
Shri Ram Raja Temple,श्री राम राजा मंदिर,ram-raja-temple-orchha,25.35170,78.64210,"Ram Raja Mandir Road, Orchha",Orchha,Tikamgarh,Madhya Pradesh,472246,Lord Ram,Sita|Lakshmana|Hanuman,Vaishnav,Unique Royal Temple,FALSE,FALSE,"The only temple in India where Lord Ram is worshipped as a King (Raja) and receives a royal gun salute daily. Ram was brought here as an idol by Queen Ganeshi Bai and when the idol could not be moved to the main temple, a palace was converted into the temple. Ram is worshipped here with full royal protocol.",The ONLY temple in India where Lord Ram is worshipped as a King and receives police salute. The idol is treated as the reigning king of Orchha. An absolutely unique and unforgettable spiritual experience. Chaturbhuj Temple next to it is an architectural masterpiece.,Bundela Rajput,17th century,08:00:00,22:00:00,0,October to March,Jhansi Railway Station (16 km),Gwalior Airport (135 km),Ram|Unique|Royal|King|Police Salute|Orchha,published
Chaturbhuj Temple Orchha,चतुर्भुज मंदिर,chaturbhuj-temple-orchha,25.35220,78.64280,"Orchha Fort Complex, Orchha",Orchha,Tikamgarh,Madhya Pradesh,472246,Lord Vishnu,Ram|Lakshmi,Vaishnav,Heritage Temple,FALSE,FALSE,"Chaturbhuj temple was originally built to house the Ram idol that now resides in Ram Raja temple. The temple has a unique combination of temple and fort architecture. The spire is one of the tallest temple spires in central India and is visible from miles away.",Architecturally stunning — the only temple in India that combines temple architecture with fort design. Has a massive 344-step staircase. The views of Orchha from the top are breathtaking. Originally built for Ram, now houses Vishnu.,Bundela,1558-1573 AD,07:00:00,18:00:00,10,October to March,Jhansi Railway Station (16 km),Gwalior Airport (135 km),Vishnu|Heritage|Architecture|Fort|Orchha,published
Bijasan Mata Temple,बिजासन माता मंदिर,bijasan-mata-indore,22.72440,75.88420,"Bijasan Tekri, Indore",Indore,Indore,Madhya Pradesh,452001,Goddess Bijasan,Durga|Kali,Shakta,Regional Famous,FALSE,FALSE,"Bijasan Mata temple is located on a hill in Indore and is the presiding deity of the city. The goddess is a form of Durga and is extremely popular among locals. The temple sees massive footfall during Navratri when the entire hilltop glows with lamps.",The presiding deity of Indore city. Offers panoramic views of the entire city from the hilltop. During Navratri the temple is decorated with over 10000 lamps creating a breathtaking sight. A must-visit if you are in Indore.,Hilltop Temple,Ancient,05:30:00,21:00:00,0,Navratri|October to March,Indore Railway Station (8 km),Indore Airport (12 km),Goddess|Navratri|Hilltop|City Deity|Indore,published
Kanch Mandir Indore,काँच मंदिर इंदौर,kanch-mandir-indore,22.71830,75.86580,"Seth Hukumchand Marg, Indore",Indore,Indore,Madhya Pradesh,452001,Lord Mahavira,,Jain,Jain Glass Temple,FALSE,FALSE,"Kanch Mandir is a stunning Jain temple built entirely of glass mirrors. Every surface — walls, ceiling, pillars, floors — is covered with intricate mirror mosaic work. Built by Seth Hukumchand in the early 20th century, it is one of the most visually stunning temples in India.",One of the most visually spectacular temples in India. Every single surface covered in multicolored glass and mirrors. The effect when light hits is absolutely magical. A photographer dream and a devotee delight.,Glass Mirror Architecture,Early 20th century,10:00:00,17:00:00,0,Year round,Indore Railway Station (3 km),Indore Airport (10 km),Jain|Glass|Mirror|Unique|Photography|Indore,published
Khajrana Ganesh Temple,खजराना गणेश मंदिर,khajrana-ganesh-indore,22.69420,75.91580,"Khajrana, Indore",Indore,Indore,Madhya Pradesh,452016,Lord Ganesha,Riddhi|Siddhi,Ganapatya,Regional Famous,FALSE,FALSE,"Khajrana Ganesh is the most visited temple in Indore with thousands of devotees daily. The Ganesha idol here is said to be swayambhu (self-manifested). Ahilyabai Holkar is believed to have discovered the idol and built the temple. The prasad modak distributed here is famous throughout India.",Most visited temple in Indore. The self-manifested Ganesha is believed to fulfill all wishes. The ladoo prasad is legendary. On Wednesdays the queue can be hours long showing the devotion. If you are in Indore Wednesday is the day to visit.,Maratha,18th century,05:00:00,22:30:00,0,Wednesday special|Year round,Indore Railway Station (6 km),Indore Airport (14 km),Ganesha|Wishes Fulfilled|Famous|Indore|Swayambhu,published
Annapurna Temple Indore,अन्नपूर्णा मंदिर इंदौर,annapurna-temple-indore,22.71270,75.86830,"Annapurna Road, Indore",Indore,Indore,Madhya Pradesh,452009,Goddess Annapurna,Kashi Vishwanath|Durga,Shakta,Regional Famous,FALSE,FALSE,"Annapurna temple in Indore is famous for housing replicas of the Kashi Vishwanath Shivalinga and the original Kashi environment. Built so that elderly devotees who cannot travel to Varanasi can get the same darshan in Indore. The temple complex is beautifully designed.",A gift to devotees who cannot travel to Kashi. Houses authentic replicas of Kashi Vishwanath and the sacred Ganga water. The temple complex is so well designed that it genuinely evokes the feeling of being in Varanasi. Famous for free prasad distribution.,South Indian,20th century,05:30:00,21:30:00,0,Year round,Indore Railway Station (4 km),Indore Airport (12 km),Annapurna|Kashi|Vishwanath|Famous|Indore|Free Prasad,published
