col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85
1,Kashi Vishwanath Temple,काशी विश्वनाथ मंदिर,Vishwanath Mandir,kashi-vishwanath-temple-varanasi,25.31072,83.01063,"Vishwanath Gali, Varanasi, Uttar Pradesh 221001",Varanasi,Varanasi,Uttar Pradesh,221001,Shiva,"['Parvati', 'Ganesha', 'Nandi']",Shaiva,Jyotirlinga,True,False,False,False,False,True,False,"One of the most famous Hindu temples dedicated to Lord Shiva, located in Varanasi. The current temple was built by Maratha Queen Ahilya Bai Holkar in 1780 CE.","The Kashi Khanda of Skanda Purana describes Kashi as the luminous city where Shiva resides as Vishwanath, the Lord of the Universe.",First and holiest of 12 Jyotirlingas. A pilgrimage here and a dip in the Ganges grants moksha according to tradition.,Nagara,1780 CE,03:00:00,23:00:00,0.0,Modest traditional Indian attire mandatory,October to March,Varanasi Junction 1.5 km,Lal Bahadur Shastri International Airport 26 km,https://shrikashivishwanath.org,+91-542-2392839,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Kashi_Vishwanath_Temple.jpg/800px-Kashi_Vishwanath_Temple.jpg,ChIJb0AmZQ7LnzkRMIzIFcXkVd4,"['jyotirlinga', 'shiva', 'varanasi', 'moksha']",4.8,95420,State Govt Endowment Board,Shri Kashi Vishwanath Temple Trust,TRUST-UP-00001,Urban / City,https://maps.google.com/?q=Kashi+Vishwanath+Temple,Godowlia Bus Stand,Dashaswamedh Ghat,काशी विश्वनाथ मंदिर भगवान शिव को समर्पित 12 ज्योतिर्लिंगों में से एक है।,Ahilyabai Holkar,2021,Excellent — well maintained,Lord Shiva once lifted the entire city of Kashi on his trident to protect it from the great deluge. The lingam here is self-manifested.,False,False,False,False,12:00:00,15:00:00,"[True, True, True, True, True, True, True, True, True, True, True, True]",yes,Monday (Shiva),yes,https://youtube.com/live/kashivishwanath,"Chandan Tilak, Panchamrit, Bhasma",https://youtube.com/kashivishwanath-aarti,https://youtube.com/kashivishwanath-intro,https://youtube.com/kashivishwanath-360,Kashi Vishwanath Temple Trust,State Bank of India Varanasi,12345678901234,SBIN0000001,kashivishwanath@upi,80G-UP-00001,"[True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True]",+919415012345,contact@kashivishwanath.org,https://facebook.com/KashiVishwanath,https://youtube.com/@KashiVishwanath,@kashivishwanath,06:00 AM - 08:00 PM,MKT-UP-0001
2,Sri Venkateswara Temple,श्री वेंकटेश्वर मंदिर,Tirupati Balaji,sri-venkateswara-temple-tirupati,13.6834,79.3473,"Tirumala, Tirupati, Andhra Pradesh 517504",Tirupati,Tirupati,Andhra Pradesh,517504,Vishnu (Venkateswara),"['Lakshmi', 'Padmavathi', 'Garuda']",Vaishnava,Divya Desam,False,False,True,False,False,True,False,Sri Venkateswara Temple is on the seventh peak of Tirumala Hills with over 2000 years of history and is the richest temple in the world.,Lord Vishnu descended to earth in Kali Yuga as Venkateswara to save mankind. The deity took a loan from Kubera which devotees repay through offerings.,Richest Hindu temple in the world. One of the Divya Desams. The presiding deity is considered the Kaliyuga Daivam.,Dravidian,300 BCE onwards,02:30:00,01:00:00,0.0,"Traditional attire; sarees for women, dhoti for men preferred",September to February,Tirupati Railway Station 25 km,Tirupati Airport 15 km,https://tirumala.org,+91-877-2277777,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Tirumala_temple_3.jpg/800px-Tirumala_temple_3.jpg,ChIJt5M4pTpSozsRc5IFdBCf1oA,"['vaishnava', 'vishnu', 'divyaDesam', 'pilgrimage']",4.9,285000,State Govt Endowment Board,Tirumala Tirupati Devasthanams,TRUST-AP-00001,Hilltop / Mountain,https://maps.google.com/?q=Tirupati+Balaji+Temple,Tirupati Central Bus Stand,Tirumala Hills,श्री वेंकटेश्वर मंदिर तिरुमाला पहाड़ियों पर स्थित विश्व का सबसे धनी हिंदू मंदिर है।,Tondaiman Dynasty,2019,Excellent — well maintained,Lord Vishnu married Padmavati here after a wager with Sage Bhrigu. The idol is believed to be swayambhu self-manifested.,False,False,False,False,13:00:00,15:30:00,"[True, True, True, True, True, False, True, True, True, True, True, True]",yes,Thursday (Vishnu / Guru),yes,https://youtube.com/live/tirumala,"Laddu Prasadam, Vada, Pongal",https://youtube.com/tirupati-aarti,https://youtube.com/tirupati-intro,https://youtube.com/tirupati-360,Tirumala Tirupati Devasthanams,State Bank of India Tirupati,98765432101234,SBIN0001234,ttd@upi,80G-AP-00001,"[True, True, True, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True]","[True, True, True, True, True, True]",+918772277777,info@tirumala.org,https://facebook.com/TTDevasthanams,https://youtube.com/@TTDevasthanams,@ttdevasthanams,07:00 AM - 09:00 PM,MKT-AP-0001
3,Somnath Temple,सोमनाथ मंदिर,Somnath Mahadev,somnath-temple-gujarat,20.888,70.4014,"Somnath, Veraval, Saurashtra, Gujarat 362268",Veraval,Gir Somnath,Gujarat,362268,Shiva (Somnath),"['Parvati', 'Nandi', 'Ganesha']",Shaiva,Jyotirlinga,True,False,False,False,False,True,False,Somnath is the first of the 12 Jyotirlingas of Lord Shiva. The temple has been destroyed and rebuilt 17 times. The current temple was reconstructed in 1951 under Sardar Patel.,"According to the Shiva Purana, the Moon God Soma built the first temple here in gold after being freed from a curse by Lord Shiva.",First of 12 Jyotirlingas. Historical symbol of resilience having been attacked by Mahmud Ghazni in 1025 CE.,Chalukya Solanki,1951 CE latest reconstruction,06:00:00,22:00:00,0.0,Traditional Indian attire; no leather items inside,October to February,Veraval Railway Station 6 km,Diu Airport 63 km,https://somnath.org,+91-2876-231212,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Somnath_mandir.jpg/800px-Somnath_mandir.jpg,ChIJH_5OIjhT4DsRe7JVnD_0nGs,"['jyotirlinga', 'shiva', 'gujarat', 'heritage']",4.75,42000,Private / Family Trust,Shree Somnath Trust,TRUST-GJ-00001,Riverbank / Ghats,https://maps.google.com/?q=Somnath+Temple+Gujarat,Somnath Bus Depot,Arabian Sea Promenade,सोमनाथ मंदिर 12 ज्योतिर्लिंगों में प्रथम है। इसे 17 बार तोड़ा और बनाया गया।,Chandra Deva Moon God,2020,Excellent — well maintained,When Mahmud Ghazni attacked the priests carried the Jyotirlinga to safety. The lingam re-manifested on its own showing its indestructible nature.,False,False,False,False,12:30:00,14:00:00,"[True, True, True, True, True, True, True, False, True, False, True, True]",yes,Monday (Shiva),yes,https://youtube.com/live/somnath,"Charnamrit, Bhasma, Flowers",https://youtube.com/somnath-aarti,https://youtube.com/somnath-intro,https://youtube.com/somnath-360,Shree Somnath Trust,Bank of Baroda Somnath,11223344556677,BARB0SOMNTH,somnath@upi,80G-GJ-00001,"[True, True, True, True, True, False, True, True]","[True, True, True, True, True, True, True, True, True, True, False, True, False, True]","[True, False, True, False, True, False]",+912876231212,info@somnath.org,https://facebook.com/SomnathTemple,https://youtube.com/@SomnathTemple,@somnathtemple,07:00 AM - 07:00 PM,MKT-GJ-0001
4,Kedarnath Temple,केदारनाथ मंदिर,Kedareshwar,kedarnath-temple-uttarakhand,30.7353,79.0667,"Kedarnath, Rudraprayag, Uttarakhand 246445",Kedarnath,Rudraprayag,Uttarakhand,246445,Shiva (Kedarnath),"['Parvati', 'Bhairava', 'Nandi']",Shaiva,Jyotirlinga,True,False,False,False,True,True,False,Kedarnath is one of the 12 Jyotirlingas and part of the Char Dham. Situated at 3583m it is accessible only May to November. The temple was built by the Pandavas and later renovated by Adi Shankaracharya.,After the Mahabharata war the Pandavas sought Shiva to absolve their sins. Shiva disguised as a bull dove into the earth. The hump that remained above is worshipped as the Kedarnath lingam.,One of the 12 Jyotirlingas and Char Dham. The idol represents the hump of Shiva as a bull. Open only May to November due to heavy snowfall.,North Indian Himalayan,8th century CE,04:00:00,21:00:00,0.0,Warm clothing required; traditional Indian attire preferred,"May to June, September to October",Rishikesh Railway Station 216 km,Jolly Grant Airport Dehradun 238 km,https://badrinath-kedarnath.gov.in,+91-1364-241486,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Kedarnath_Temple.jpg/800px-Kedarnath_Temple.jpg,ChIJk8oYTRjpnzkRbY0bD1Fgm4E,"['jyotirlinga', 'charDham', 'shiva', 'himalaya']",4.85,68000,State Govt Endowment Board,Badrinath-Kedarnath Temple Committee,TRUST-UK-00001,Hilltop / Mountain,https://maps.google.com/?q=Kedarnath+Temple,Gaurikund Bus Stand,Mandakini River,केदारनाथ मंदिर हिमालय में 3583 मीटर की ऊंचाई पर स्थित एक ज्योतिर्लिंग है।,Pandavas,2014,Good — minor maintenance needed,After the great Mahabharat war the Pandavas came to Kedarnath to seek blessings. Shiva appeared as a bull and dove into the ground. Different parts manifested at five locations forming the Panch Kedar.,False,False,False,False,13:00:00,16:00:00,"[True, False, True, True, True, False, False, False, False, False, True, True]",yes,Monday (Shiva),planning,https://youtube.com/live/kedarnath,"Panchamrit, Charnamrit, Prasad",https://youtube.com/kedarnath-aarti,https://youtube.com/kedarnath-intro,https://youtube.com/kedarnath-360,Badrinath-Kedarnath Temple Committee,Punjab National Bank Ukhimath,55667788990011,PUNB0110200,kedarnath@upi,80G-UK-00001,"[True, False, True, True, True, False, True, True]","[True, True, False, False, True, False, False, True, True, True, False, False, False, False]","[False, False, False, False, True, False]",+911364241486,info@kedarnath.org,https://facebook.com/KedarnathTemple,https://youtube.com/@KedarnathTemple,@kedarnathtemple,09:00 AM - 05:00 PM,MKT-UK-0001
5,Badrinath Temple,बद्रीनाथ मंदिर,Badri Vishal,badrinath-temple-uttarakhand,30.74361,79.4935,"Badrinath, Chamoli, Uttarakhand 246422",Badrinath,Chamoli,Uttarakhand,246422,Vishnu (Badrinarayan),"['Kubera', 'Garuda', 'Narada']",Vaishnava,Char Dham,False,False,True,False,True,True,False,Badrinath is one of the four sacred Char Dhams. The temple is dedicated to Lord Vishnu as Badrinarayan. Located at 3133m on the banks of Alaknanda river in the Garhwal Himalayas.,According to legend sage Narada meditated here and Lord Vishnu appeared. Adi Shankaracharya retrieved the Saligrama idol from Narad Kund in 8th century.,One of the four sacred Char Dhams. The presiding deity is Lord Vishnu in yogic meditation. One of 108 Divya Desams.,Dravidian South Indian influence,9th century CE,04:30:00,21:00:00,0.0,"Traditional attire; dhoti for men, saree or salwar kameez for women","May to June, September to November",Rishikesh Railway Station 295 km,Jolly Grant Airport Dehradun 315 km,https://badrinath-kedarnath.gov.in,+91-1381-222308,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Badrinath_Temple.jpg/800px-Badrinath_Temple.jpg,ChIJfSFwxX9vnjkRV6Xrz5zGXH4,"['charDham', 'vishnu', 'divyaDesam', 'himalaya']",4.85,72000,State Govt Endowment Board,Badrinath-Kedarnath Temple Committee,TRUST-UK-00002,Riverbank / Ghats,https://maps.google.com/?q=Badrinath+Temple,Badrinath Bus Stand,Alaknanda River and Tapt Kund,बद्रीनाथ मंदिर चार धामों में से एक है और भगवान विष्णु को समर्पित है।,Adi Shankaracharya,2018,Excellent — well maintained,When the earth was covered with Badri trees Lord Vishnu sat in meditation here. Goddess Lakshmi took the form of the Badri tree to protect him from the harsh cold.,False,False,False,False,13:00:00,16:00:00,"[False, True, True, False, False, False, False, True, False, False, False, True]",yes,Thursday (Vishnu / Guru),yes,https://youtube.com/live/badrinath,"Charna Amrit, Tulsi, Mishri",https://youtube.com/badrinath-aarti,https://youtube.com/badrinath-intro,https://youtube.com/badrinath-360,Badrinath-Kedarnath Temple Committee,Union Bank of India Badrinath,66778899001122,UBIN0531506,badrinath@upi,80G-UK-00002,"[True, True, False, True, True, False, True, True]","[True, True, False, False, True, False, False, True, True, True, False, False, False, False]","[True, False, False, False, True, False]",+911381222308,info@badrinath.org,https://facebook.com/BadrinathTemple,https://youtube.com/@BadrinathTemple,@badrinathtemple,09:00 AM - 05:00 PM,MKT-UK-0002
6,Jagannath Temple,जगन्नाथ मंदिर,Shri Mandira,jagannath-temple-puri,19.8048,85.8183,"Grand Road, Puri, Odisha 752001",Puri,Puri,Odisha,752001,Vishnu (Jagannath),"['Balabhadra', 'Subhadra', 'Sudarshana']",Vaishnava,Char Dham,False,False,True,False,True,True,False,The Jagannath Temple is one of the four sacred Char Dhams. Built in 12th century by King Anantavarman Chodaganga Deva. Famous for the annual Rath Yatra chariot festival.,According to the Skanda Purana Vishnu manifested here as Purushottama Jagannatha. The original idol is made of neem wood and contains the mysterious Brahmapadartha.,One of the four Char Dhams. Famous for Rath Yatra the largest chariot festival in the world. Non-Hindus are not permitted inside the main temple.,Kalinga,12th century CE,05:00:00,24:00:00,0.0,Traditional attire required; non-Hindus not permitted inside,November to February,Puri Railway Station 2 km,Bhubaneswar Airport 60 km,https://jagannath.nic.in,+91-6752-222015,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Jagannath_temple.jpg/800px-Jagannath_temple.jpg,ChIJN2g4q1nBlzkRAknWUFYDdTw,"['charDham', 'vishnu', 'puri', 'rathYatra']",4.8,88000,State Govt Endowment Board,Shri Jagannath Temple Administration,TRUST-OD-00001,Riverbank / Ghats,https://maps.google.com/?q=Jagannath+Temple+Puri,Puri Bus Stand,Puri Beach,जगन्नाथ मंदिर ओडिशा के पुरी में स्थित चार धामों में से एक है।,King Anantavarman Chodaganga Deva,2015,Good — minor maintenance needed,Lord Krishna in the form of Jagannath asked King Indradyumna to find his original form submerged in the sea. The king found the floating log and had three idols carved from it under divine guidance.,False,False,False,False,14:00:00,16:00:00,"[False, True, True, False, False, False, False, True, False, False, True, True]",no,Thursday (Vishnu / Guru),planning,https://youtube.com/live/jagannath,Mahaprasad 56 items daily,https://youtube.com/jagannath-aarti,https://youtube.com/jagannath-intro,https://youtube.com/jagannath-360,Shri Jagannath Temple Trust,State Bank of India Puri,44556677889900,SBIN0001099,jagannath@upi,80G-OD-00001,"[True, True, True, True, True, False, True, True]","[True, True, True, False, True, True, True, True, True, True, False, False, False, False]","[True, False, True, False, True, False]",+916752222015,info@jagannath.org,https://facebook.com/JagannathTemple,https://youtube.com/@JagannathTemple,@jagannathpuri,08:00 AM - 06:00 PM,MKT-OD-0001
7,Vaishno Devi Temple,वैष्णो देवी मंदिर,Mata Vaishno Devi,vaishno-devi-temple-katra,33.0267,74.9525,"Trikuta Hills, Katra, Jammu and Kashmir 182301",Katra,Reasi,Jammu & Kashmir,182301,Vaishno Devi (Durga),"['Lakshmi', 'Saraswati', 'Kali']",Shakta,Shaktipeeth,False,True,False,False,False,True,False,Vaishno Devi is a Hindu goddess shrine in the Trikuta Mountains. One of the most visited pilgrimage sites in India. The presiding deity appears as three natural rock formations called Pindis.,According to legend the goddess Vaishno Devi meditated in a cave here for 9 months. The demon Bhairavnath pursued her and she finally beheaded him at the cave entrance.,One of the most visited pilgrimage shrines in India. The goddess is worshipped as three natural rock formations. About 8 million pilgrims visit annually.,Cave Shrine,Ancient thousands of years,00:00:00,23:59:00,0.0,Warm clothing for winters; traditional attire preferred,March to October,Katra Railway Station 1 km,Jammu Airport 50 km,https://maavaishnodevi.org,+91-1991-232900,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Vaishno_Devi_shrine.jpg/800px-Vaishno_Devi_shrine.jpg,ChIJPyMw_vxbDDkRJnm79Tl7I4s,"['shaktipeeth', 'devi', 'jammu', 'pilgrimage']",4.85,120000,State Govt Endowment Board,Shri Mata Vaishno Devi Shrine Board,TRUST-JK-00001,Cave / Underground,https://maps.google.com/?q=Vaishno+Devi+Temple,Katra Bus Stand,Trikuta Mountains,वैष्णो देवी मंदिर त्रिकूट पर्वत पर स्थित माता वैष्णो देवी का पवित्र तीर्थ स्थान है।,Mata Vaishno Devi Self-manifested,2022,Excellent — well maintained,Mata Vaishno Devi meditated for 9 months and achieved divine power. The demon Bhairavnath was defeated when he tried to harm her. Even in death Bhairavnath was liberated by her grace.,False,True,False,False,00:00:00,00:00:00,"[True, True, True, False, True, False, True, True, False, True, True, True]",yes,Friday (Lakshmi / Devi),yes,https://youtube.com/live/vaishnodevi,"Chunri, Prasad Box",https://youtube.com/vaishnodevi-aarti,https://youtube.com/vaishnodevi-intro,https://youtube.com/vaishnodevi-360,Shri Mata Vaishno Devi Shrine Board,J and K Bank Katra,77889900112233,JAKA0KATRA0,vaishnodevi@upi,80G-JK-00001,"[True, True, False, True, True, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, False, False, True]","[True, True, True, True, True, True]",+911991232900,info@maavaishnodevi.org,https://facebook.com/VaishnoDevi,https://youtube.com/@VaishnoDevi,@vaishnodevi,06:00 AM - 08:00 PM,MKT-JK-0001
8,Ramanathaswamy Temple,रामनाथस्वामी मंदिर,Rameshwaram,ramanathaswamy-temple-rameswaram,9.2883,79.3172,"Rameswaram Island, Tamil Nadu 623526",Rameswaram,Ramanathapuram,Tamil Nadu,623526,Shiva (Ramanathaswamy),"['Parvati', 'Hanuman', 'Rama']",Shaiva,Jyotirlinga,True,False,True,False,True,True,False,Ramanathaswamy Temple is one of the 12 Jyotirlingas. Famous for its magnificent corridors the longest in the world at 1200m. Built by the Pandya Dynasty and later expanded by the Setupati kings.,According to Ramayana Lord Rama installed the Shiva lingam here to get absolved of the sin of killing Ravana who was a Brahmin. The sand lingam was made by Goddess Sita.,One of the Char Dhams and 12 Jyotirlingas. Has the longest temple corridor in the world. The temple has 22 sacred theerthams. Associated with the Ramayana.,Dravidian,12th century CE,05:00:00,21:00:00,0.0,Traditional attire; dhoti for men inside sanctum,October to April,Rameswaram Railway Station 1 km,Madurai Airport 174 km,https://rameswaramtemple.tnhrce.in,+91-4573-221223,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ramanathaswamy_Temple_Rameswaram.jpg/800px-Ramanathaswamy_Temple_Rameswaram.jpg,ChIJo6OLzxFkUjsRjhFxuXuLZ00,"['jyotirlinga', 'charDham', 'shiva', 'ramayana']",4.75,55000,State Govt Endowment Board,Hindu Religious and Charitable Endowments Dept,TRUST-TN-00001,Island,https://maps.google.com/?q=Ramanathaswamy+Temple,Rameswaram Bus Stand,Pamban Bridge,रामेश्वरम मंदिर भगवान राम द्वारा स्थापित ज्योतिर्लिंग है।,Lord Rama,2016,Good — minor maintenance needed,After killing Ravana Lord Rama established this Shiva lingam to atone for Brahmin-killing. He sent Hanuman to Kailash to bring a lingam but when Hanuman returned late Sita had already made one from sand.,False,False,False,False,13:00:00,15:00:00,"[True, True, True, True, True, False, False, False, False, False, True, True]",yes,Monday (Shiva),planning,https://youtube.com/live/rameshwaram,"Vibhuti, Sandalwood paste, Flowers",https://youtube.com/rameshwaram-aarti,https://youtube.com/rameshwaram-intro,https://youtube.com/rameshwaram-360,Ramanathaswamy Temple Trust,Indian Bank Rameswaram,33445566778899,IDIB000R052,rameshwaram@upi,80G-TN-00001,"[True, True, True, True, True, False, True, True]","[True, True, True, False, False, True, True, True, True, True, False, False, False, False]","[True, False, False, False, True, False]",+914573221223,info@rameswaram.org,https://facebook.com/RameshwaramTemple,https://youtube.com/@RameshwaramTemple,@rameshwaramtemple,07:00 AM - 07:00 PM,MKT-TN-0001
9,Dwarkadhish Temple,द्वारकाधीश मंदिर,Jagat Mandir,dwarkadhish-temple-dwarka,22.238,68.9673,"Dwarka, Gujarat 361335",Dwarka,Devbhumi Dwarka,Gujarat,361335,Vishnu (Dwarkadhish/Krishna),"['Rukmini', 'Balarama', 'Trivikrama']",Vaishnava,Char Dham,False,False,True,False,True,True,False,Dwarkadhish Temple or Jagat Mandir is one of the Char Dhams. Dedicated to Lord Krishna as the ruler of Dwarka. The current structure dates to the 16th century CE.,Dwarka was the legendary capital of Lord Krishna. After Krishna left the earth the city was submerged in the sea. Archaeological evidence supports the existence of an ancient submerged city.,One of the four Char Dhams. The five-storied temple is 43 meters high. One of the 108 Divya Desams. Pilgrims take a dip in the Gomati River before visiting.,Chalukya,16th century CE,06:30:00,13:00:00,0.0,"Traditional attire; dhoti for men, saree for women preferred inside sanctum",November to February,Dwarka Railway Station 3 km,Jamnagar Airport 130 km,https://dwarkadhish.org,+91-2892-234371,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Dwarkadhish_temple_Dwarka.jpg/800px-Dwarkadhish_temple_Dwarka.jpg,ChIJM2FxT0XV5jsRJ7P6uJJEhPw,"['charDham', 'krishna', 'divyaDesam', 'gujarat']",4.7,38000,Private / Family Trust,Dwarkadhish Temple Trust,TRUST-GJ-00002,Riverbank / Ghats,https://maps.google.com/?q=Dwarkadhish+Temple+Dwarka,Dwarka Bus Stand,Gomati Ghat,द्वारकाधीश मंदिर भगवान कृष्ण को समर्पित चार धामों में से एक है।,Lord Krishna,2012,Good — minor maintenance needed,Lord Krishna established his kingdom Dwarka after leaving Mathura. He ruled here for 36 years. After his departure the city was submerged. The current temple stands as testimony to the ancient glory of Dwarka.,False,False,False,False,13:00:00,17:00:00,"[False, True, True, False, False, False, False, True, False, False, False, True]",yes,Thursday (Vishnu / Guru),planning,https://youtube.com/live/dwarka,"Panchamrit, Chandan, Tulsi",https://youtube.com/dwarka-aarti,https://youtube.com/dwarka-intro,https://youtube.com/dwarka-360,Dwarkadhish Temple Trust,Bank of Baroda Dwarka,22334455667788,BARB0DWARKA,dwarka@upi,80G-GJ-00002,"[True, True, True, True, True, False, True, True]","[True, True, True, False, True, True, True, True, True, True, False, False, False, False]","[True, False, False, False, True, False]",+912892234371,info@dwarkadhish.org,https://facebook.com/DwarkadhishTemple,https://youtube.com/@DwarkadhishTemple,@dwarkadhish,07:00 AM - 07:00 PM,MKT-GJ-0002
10,Harmandir Sahib Golden Temple,हरमंदिर साहिब,Darbar Sahib,harmandir-sahib-amritsar,31.62,74.876,"Golden Temple Road, Amritsar, Punjab 143006",Amritsar,Amritsar,Punjab,143006,Waheguru (Sikh),['Guru Granth Sahib'],Smarta,Heritage,False,False,False,False,False,True,False,"Harmandir Sahib is the holiest shrine in Sikhism. The foundation was laid by Guru Arjan Dev Ji in 1588. The upper half is covered with 750 kg of pure gold, hence called the Golden Temple.",The sacred pool Amrit Sarovar was created by Guru Ram Das Ji. The water is believed to have healing powers. All four entrances symbolize openness to people of all backgrounds.,Holiest shrine in Sikhism. Serves free langar to over 100000 people daily. Open to people of all faiths. The sacred pool Amrit Sarovar gives Amritsar its name.,Mughal and Sikh,1604 CE,02:00:00,23:00:00,0.0,Head must be covered; shoes must be removed; no smoking or drinking,All year; winter October to March best,Amritsar Railway Station 2 km,Sri Guru Ram Dass Jee International Airport 11 km,https://sgpc.net,+91-183-2553957,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Golden_Temple_amritsar.jpg/800px-Golden_Temple_amritsar.jpg,ChIJkQs4VmYkGTkRGhGMdGGabUw,"['sikh', 'heritage', 'amritsar', 'golden']",4.95,350000,Community / Village Trust,Shiromani Gurdwara Parbandhak Committee,TRUST-PB-00001,Urban / City,https://maps.google.com/?q=Golden+Temple+Amritsar,ISBT Amritsar,Amrit Sarovar,हरमंदिर साहिब सिखों का सबसे पवित्र तीर्थ स्थान है।,Guru Arjan Dev Ji,2023,Excellent — well maintained,Guru Ram Das Ji dug the sacred tank Amrit Sarovar. Later Guru Arjan Dev Ji completed the construction of Harmandir Sahib. The holy scripture Guru Granth Sahib was first installed here in 1604.,False,False,False,False,00:00:00,00:00:00,"[False, False, False, False, False, False, False, False, False, False, False, False]",no,None / All days equal,yes,https://youtube.com/live/goldentemplehd,Karah Prasad Halwa,https://youtube.com/goldentemplelive-aarti,https://youtube.com/goldentempleintrohd,https://youtube.com/goldentemple-360,SGPC Golden Temple,Punjab National Bank Amritsar,99001122334455,PUNB0000400,goldentmpl@upi,80G-PB-00001,"[True, True, True, True, False, True, True, True]","[True, True, True, True, True, True, True, True, True, True, True, False, False, True]","[True, True, True, True, True, True]",+91183553957,contact@sgpc.net,https://facebook.com/GoldenTempleAmritsar,https://youtube.com/@GoldenTempleAmritsar,@goldentemplehd,24 hours,MKT-PB-0001
